rank	gene	longname	N	nnei	nncd	nsil	nmis	nstp	nspl	nind	n	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1890	33	0	0	21	3	1	3	28	28	24	1.000000e-16	4.293000e-02	1.000000e-05	1.000000e-16	9.148000e-13
2	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	82	0	1	26	0	1	1	28	26	13	1.000000e-16	1.000000e-05	8.690000e-03	1.000000e-16	9.148000e-13
3	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	2709	38	0	0	4	1	2	4	11	11	11	7.814792e-12	7.700000e-02	2.550000e-01	1.133116e-11	6.910496e-08
4	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	1231	42	0	0	4	0	0	0	4	4	2	1.100042e-05	1.000000e-04	6.787000e-01	2.379163e-08	1.088229e-04
5	TBX3	T-box 3 (ulnar mammary syndrome)	2260	9	0	0	2	0	0	4	6	5	6	3.859635e-07	4.300000e-02	4.550000e-01	2.442761e-07	8.938551e-04
6	GATA3	GATA binding protein 3	1351	0	0	2	0	0	0	5	5	5	5	1.369188e-07	1	7.580000e-01	2.300767e-06	7.015805e-03
7	CSH2	chorionic somatomammotropin hormone 2	716	91	0	0	3	0	0	0	3	3	1	1.802714e-04	2.300000e-03	3.464500e-01	2.979671e-06	7.788007e-03
8	SLC16A2	solute carrier family 16, member 2 (monocarboxylic acid transporter 8)	1862	349	0	0	0	3	0	0	3	3	2	6.502913e-04	2.366200e-01	1.000000e-03	9.914240e-06	2.267387e-02
9	NDUFA12	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12	452	29	0	0	2	0	1	0	3	3	3	2.267618e-05	1	3.800000e-02	1.820226e-05	3.700317e-02
10	POLR1C	polymerase (RNA) I polypeptide C, 30kDa	2452	18	0	1	4	0	0	0	4	4	1	2.283418e-02	1.000000e-04	9.978500e-01	3.194464e-05	5.844592e-02
11	TUBE1	tubulin, epsilon 1	1474	166	0	0	2	0	1	0	3	3	2	7.293281e-04	6.600000e-03	3.723000e-01	6.375121e-05	1.060356e-01
12	KDM6B	lysine (K)-specific demethylase 6B	5129	27	0	0	2	0	0	2	4	4	3	7.307779e-04	1.500000e-02	5.210000e-01	1.361560e-04	2.075926e-01
13	PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	2170	35	0	0	2	0	1	0	3	3	3	2.041217e-04	NaN	NaN	2.041217e-04	2.872777e-01
14	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	1	0	1	2	1	0	3	6	5	6	2.688860e-05	1	5.810000e-01	3.098590e-04	4.049415e-01
15	SEPT9	septin 9	2273	79	1	1	5	0	0	0	5	5	5	4.370456e-04	1	2.400000e-02	4.911790e-04	5.991074e-01
16	ATP13A3	ATPase type 13A3	3805	38	0	0	5	1	0	0	6	3	5	1.852151e-03	2.400000e-02	8.240000e-01	6.181007e-04	7.067982e-01
17	EPPK1	epiplakin 1	7265	8	0	6	5	1	0	0	6	6	5	5.063054e-02	2.100000e-02	2.880000e-02	9.389790e-04	9.752456e-01
18	ATM	ataxia telangiectasia mutated	9441	37	0	1	3	1	0	0	4	4	4	7.407948e-03	1	1.140000e-02	9.594676e-04	9.752456e-01
19	TCEB3B	transcription elongation factor B polypeptide 3B (elongin A2)	2262	134	0	1	5	1	0	0	6	6	6	3.303835e-04	1	4.180000e-01	1.566289e-03	1
20	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	43	0	0	1	2	0	2	5	5	5	1.632748e-04	1	7.970000e-01	1.587043e-03	1
21	CRELD1	cysteine-rich with EGF-like domains 1	2097	24	0	0	1	1	0	0	2	2	2	7.047036e-04	1	2.540000e-01	2.400732e-03	1
22	SRCIN1	SRC kinase signaling inhibitor 1	3624	9	0	2	4	0	0	0	4	4	3	3.332310e-02	2.840000e-02	3.260000e-01	2.678633e-03	1
23	ZP2	zona pellucida glycoprotein 2 (sperm receptor)	2312	29	0	0	0	1	0	0	1	1	1	3.132832e-03	NaN	NaN	3.132832e-03	1
24	RPH3A	rabphilin 3A homolog (mouse)	2165	101	0	0	3	0	0	0	3	3	2	1.247334e-02	2.900000e-02	3.750000e-01	3.425127e-03	1
25	ZNF618	zinc finger protein 618	2640	47	0	0	2	0	0	0	2	2	1	4.080883e-02	1.050000e-02	3.380000e-02	3.751555e-03	1
26	ST14	suppression of tumorigenicity 14 (colon carcinoma)	2640	12	0	0	2	0	0	0	2	2	1	2.638862e-02	1.550000e-02	8.613000e-01	3.784731e-03	1
27	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1002	269	0	0	1	1	0	0	2	2	2	2.323915e-02	1	1.600000e-02	3.870519e-03	1
28	EGF	epidermal growth factor (beta-urogastrone)	3716	66	1	0	1	2	1	0	4	4	4	4.542222e-04	1	6.750000e-01	3.950336e-03	1
29	POLD1	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	3429	14	0	0	0	1	0	0	1	1	1	4.340205e-03	NaN	NaN	4.340205e-03	1
30	LILRB5	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	1824	162	0	0	2	0	0	0	2	2	1	5.851953e-02	1.020000e-02	3.511000e-01	4.941135e-03	1
31	ITGA11	integrin, alpha 11	3685	167	0	1	0	0	2	0	2	2	1	1.836666e-02	3.890000e-01	8.300000e-02	5.502143e-03	1
32	GALT	galactose-1-phosphate uridylyltransferase	1182	29	0	0	2	1	0	0	3	3	3	7.157967e-04	1	9.280000e-01	5.899678e-03	1
33	PAM	peptidylglycine alpha-amidating monooxygenase	3021	8	0	0	1	0	1	0	2	2	2	1.698939e-03	1	3.170000e-01	5.920346e-03	1
34	ARHGAP4	Rho GTPase activating protein 4	3051	40	0	0	4	0	0	0	4	3	4	2.824556e-02	2.000000e-02	7.180000e-01	6.034055e-03	1
35	CBFB	core-binding factor, beta subunit	615	1000	0	0	2	0	2	0	4	3	4	2.160884e-02	2.900000e-02	4.930000e-01	6.036336e-03	1
36	CYLC1	cylicin, basic protein of sperm head cytoskeleton 1	1976	242	0	0	3	0	0	0	3	3	2	6.643155e-02	9.000000e-03	8.998000e-01	6.199211e-03	1
37	DNMBP	dynamin binding protein	4798	40	0	0	2	1	0	0	3	3	3	8.569809e-04	1	5.920000e-01	6.909061e-03	1
38	NEFH	neurofilament, heavy polypeptide 200kDa	3077	225	0	0	2	0	0	0	2	2	2	1.506616e-02	1	3.500000e-02	6.921704e-03	1
39	CHST13	carbohydrate (chondroitin 4) sulfotransferase 13	1034	231	0	0	2	0	0	0	2	2	2	1.571844e-02	1	2.400000e-02	6.962230e-03	1
40	CCL3	chemokine (C-C motif) ligand 3	289	11	0	0	0	0	0	1	1	1	1	6.980698e-03	NaN	NaN	6.980698e-03	1
41	KIF5A	kinesin family member 5A	3211	9	0	0	1	0	1	0	2	2	2	5.992365e-03	1	1.400000e-01	7.161719e-03	1
42	COL6A1	collagen, type VI, alpha 1	3225	79	0	1	4	0	0	0	4	4	3	2.644042e-02	2.800000e-02	1.580000e-01	7.204610e-03	1
43	TPRN	taperin	2045	227	0	0	2	0	0	0	2	2	1	5.834084e-02	1.560000e-02	2.880000e-02	7.282700e-03	1
44	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	4223	24	0	0	0	0	1	0	1	1	1	7.623903e-03	NaN	NaN	7.623903e-03	1
45	GAPVD1	GTPase activating protein and VPS9 domains 1	4568	6	0	0	0	0	1	0	1	1	1	7.669068e-03	NaN	NaN	7.669068e-03	1
46	KIF14	kinesin family member 14	5059	10	0	0	1	2	0	0	3	3	3	9.860284e-04	1	6.900000e-01	7.811145e-03	1
47	SLC47A1	solute carrier family 47, member 1	1779	15	0	0	0	1	0	0	1	1	1	8.046893e-03	NaN	NaN	8.046893e-03	1
48	MACF1	microtubule-actin crosslinking factor 1	26481	2	0	0	5	0	0	0	5	4	5	4.319275e-01	2.400000e-03	2.904000e-01	8.160096e-03	1
49	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	3896	12	0	2	3	0	0	0	3	3	2	3.085403e-01	3.400000e-03	2.885000e-01	8.245307e-03	1
50	PHLDA3	pleckstrin homology-like domain, family A, member 3	388	3	0	1	0	1	0	0	1	1	1	8.438819e-03	NaN	NaN	8.438819e-03	1
51	CC2D2A	coiled-coil and C2 domain containing 2A	5208	13	0	0	1	0	1	0	2	2	2	3.869082e-03	1	1.060000e-01	8.559276e-03	1
52	STXBP5	syntaxin binding protein 5 (tomosyn)	3564	10	0	0	3	0	0	0	3	2	2	4.419025e-01	2.200000e-03	8.169000e-01	8.626081e-03	1
53	GREM1	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	558	224	0	0	1	1	0	0	2	1	2	1.122067e-01	1.000000e-02	7.905000e-01	8.743797e-03	1
54	SFRP1	secreted frizzled-related protein 1	953	99	0	0	2	0	0	0	2	2	2	9.055303e-03	NaN	NaN	9.055303e-03	1
55	CHD9	chromodomain helicase DNA binding protein 9	8794	24	1	0	3	0	0	0	3	3	2	1.582358e-01	7.400000e-03	5.330000e-02	9.074760e-03	1
56	ESR1	estrogen receptor 1	1820	115	0	0	3	0	0	0	3	3	3	4.076668e-03	1	2.750000e-01	9.588786e-03	1
57	LAMB3	laminin, beta 3	3607	119	0	1	2	0	0	0	2	2	1	1.301664e-01	1.200000e-02	1.820000e-02	9.950065e-03	1
58	KLK2	kallikrein-related peptidase 2	841	71	0	0	2	0	0	0	2	2	2	9.080245e-03	1	1.140000e-01	1.004945e-02	1
59	CCNT2	cyclin T2	2227	22	0	0	0	0	1	0	1	1	1	1.050084e-02	NaN	NaN	1.050084e-02	1
60	ZCCHC14	zinc finger, CCHC domain containing 14	2900	34	0	0	2	0	0	0	2	2	1	1.414296e-01	1.000000e-02	6.172000e-01	1.069367e-02	1
61	ZFYVE28	zinc finger, FYVE domain containing 28	2928	4	0	0	1	0	0	1	2	2	2	1.416181e-03	1	5.400000e-01	1.070603e-02	1
62	SGSH	N-sulfoglucosamine sulfohydrolase (sulfamidase)	1808	11	0	0	1	0	1	0	2	2	2	1.070898e-02	NaN	NaN	1.070898e-02	1
63	DENND2C	DENN/MADD domain containing 2C	2681	116	0	0	3	0	0	0	3	3	3	4.170526e-03	1	2.460000e-01	1.074517e-02	1
64	C1orf21	chromosome 1 open reading frame 21	382	44	0	0	2	0	0	0	2	2	2	3.964772e-03	1	3.010000e-01	1.090879e-02	1
65	MDM4	Mdm4 p53 binding protein homolog (mouse)	1513	304	0	1	3	0	0	0	3	3	3	7.749602e-03	1	1.310000e-01	1.107388e-02	1
66	WNT10A	wingless-type MMTV integration site family, member 10A	1266	0	0	0	2	2	0	0	4	4	4	7.591378e-03	1	1.140000e-01	1.171612e-02	1
67	ITCH	itchy E3 ubiquitin protein ligase homolog (mouse)	2681	49	0	0	4	0	0	0	4	3	4	4.213976e-03	1	3.580000e-01	1.201725e-02	1
68	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	4266	4	0	0	2	0	0	0	2	2	1	1.751938e-01	1.000000e-02	1.546667e-02	1.287154e-02	1
69	FRG1	FSHD region gene 1	811	1000	0	0	2	0	0	0	2	2	1	1.777773e-01	1.275000e-02	1.000000e-02	1.303533e-02	1
70	CHD3	chromodomain helicase DNA binding protein 3	6440	20	0	0	2	1	0	0	3	3	3	1.140875e-02	1	1.190000e-01	1.319226e-02	1
71	EED	embryonic ectoderm development	1372	45	0	0	0	1	0	0	1	1	1	1.358812e-02	NaN	NaN	1.358812e-02	1
72	ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)	2954	22	0	0	0	1	0	0	1	1	1	1.373247e-02	NaN	NaN	1.373247e-02	1
73	HUWE1	HECT, UBA and WWE domain containing 1	13449	9	0	1	5	0	1	0	6	6	6	3.733867e-03	1	4.030000e-01	1.380858e-02	1
74	DDX50	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50	2270	79	0	0	0	1	0	0	1	1	1	1.387968e-02	NaN	NaN	1.387968e-02	1
75	THOC6	THO complex 6 homolog (Drosophila)	1675	9	0	0	0	1	0	0	1	1	1	1.399157e-02	NaN	NaN	1.399157e-02	1
76	FOXD3	forkhead box D3	1437	39	0	0	1	0	0	0	1	1	1	1.449817e-02	NaN	NaN	1.449817e-02	1
77	EI24	etoposide induced 2.4 mRNA	1062	7	0	0	0	1	0	0	1	1	1	1.466017e-02	NaN	NaN	1.466017e-02	1
78	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	3999	20	0	0	3	0	1	0	4	4	4	5.244791e-03	1	2.760000e-01	1.503537e-02	1
79	ITPR3	inositol 1,4,5-triphosphate receptor, type 3	8244	0	0	0	0	0	1	0	1	1	1	1.575657e-02	NaN	NaN	1.575657e-02	1
80	IL31RA	interleukin 31 receptor A	2355	24	0	0	1	0	1	0	2	2	2	4.797114e-03	1	4.030000e-01	1.625889e-02	1
81	SOX3	SRY (sex determining region Y)-box 3	1341	5	0	0	0	1	0	0	1	1	1	1.684384e-02	NaN	NaN	1.684384e-02	1
82	SIRPB2	signal-regulatory protein beta 2	1045	2	0	1	0	0	0	1	1	1	1	1.690599e-02	NaN	NaN	1.690599e-02	1
83	ZNF563	zinc finger protein 563	1443	40	0	0	2	0	0	0	2	2	2	2.189754e-02	1	8.600000e-02	1.693013e-02	1
84	SPEN	spen homolog, transcriptional regulator (Drosophila)	11051	1	0	0	2	1	0	0	3	3	3	7.344658e-02	1	2.900000e-02	1.702056e-02	1
85	FAIM3	Fas apoptotic inhibitory molecule 3	1205	218	0	0	3	0	0	0	3	3	3	2.438042e-03	1	9.070000e-01	1.710667e-02	1
86	SYNE1	spectrin repeat containing, nuclear envelope 1	27066	0	0	0	8	0	0	0	8	7	7	3.765968e-01	5.600000e-03	5.887000e-01	1.716583e-02	1
87	BLVRA	biliverdin reductase A	921	272	0	0	3	0	0	0	3	3	3	2.465959e-03	1	9.110000e-01	1.727447e-02	1
88	SURF6	surfeit 6	1104	400	0	0	2	0	0	0	2	2	2	7.549369e-02	1	3.100000e-02	1.742647e-02	1
89	RPP38	ribonuclease P/MRP 38kDa subunit	1326	213	0	0	2	0	0	0	2	2	2	1.724771e-02	1	5.100000e-02	1.758744e-02	1
90	MYH15	myosin, heavy chain 15	6007	0	0	0	0	0	1	0	1	1	1	1.764234e-02	NaN	NaN	1.764234e-02	1
91	FCRL1	Fc receptor-like 1	1396	32	0	1	2	0	0	0	2	2	2	6.528041e-02	1	3.900000e-02	1.775347e-02	1
92	PDE1A	phosphodiesterase 1A, calmodulin-dependent	1744	9	0	0	1	1	0	0	2	2	2	3.421760e-02	1	4.800000e-02	1.787514e-02	1
93	SELE	selectin E (endothelial adhesion molecule 1)	1885	29	0	0	0	1	0	0	1	1	1	1.801518e-02	NaN	NaN	1.801518e-02	1
94	CETN3	centrin, EF-hand protein, 3 (CDC31 homolog, yeast)	520	296	0	0	1	1	0	0	2	1	2	2.617162e-01	1.000000e-02	8.830000e-01	1.817793e-02	1
95	TTC37	tetratricopeptide repeat domain 37	4908	7	0	0	1	1	0	0	2	2	2	5.196013e-02	1	2.010000e-02	1.849601e-02	1
96	PRKAG2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	1770	25	0	0	1	1	0	0	2	2	2	8.731018e-03	1	2.300000e-01	1.850158e-02	1
97	BMP2K	BMP2 inducible kinase	3582	3	0	0	2	0	0	0	2	2	1	2.676797e-01	1.000000e-02	1.300000e-02	1.853182e-02	1
98	COL6A6	collagen, type VI, alpha 6	6934	31	0	0	1	0	1	0	2	2	2	6.279375e-03	1	2.350000e-01	1.900360e-02	1
99	ARTN	artemin	784	69	0	0	1	0	0	0	1	1	1	1.982375e-02	NaN	NaN	1.982375e-02	1
100	ZKSCAN1	zinc finger with KRAB and SCAN domains 1	1712	23	0	0	3	1	0	0	4	3	4	2.900267e-03	1	6.520000e-01	1.984639e-02	1
101	CD180	CD180 molecule	1994	17	0	2	1	0	1	0	2	2	2	6.947726e-02	1	3.800000e-02	1.995021e-02	1
102	KCNU1	potassium channel, subfamily U, member 1	3556	20	0	0	1	1	1	0	3	3	3	9.833603e-03	1	2.750000e-01	2.030875e-02	1
103	SLC45A1	solute carrier family 45, member 1	2275	411	0	0	4	0	0	0	4	4	4	6.466096e-03	1	4.400000e-01	2.050409e-02	1
104	PFKP	phosphofructokinase, platelet	2441	55	0	0	1	0	1	0	2	2	2	3.044708e-03	1	6.740000e-01	2.068681e-02	1
105	MAP2	microtubule-associated protein 2	5804	67	0	1	6	0	0	0	6	6	6	3.149847e-03	1	8.050000e-01	2.129423e-02	1
106	KIAA1522	KIAA1522	3311	12	0	0	4	0	0	0	4	4	4	9.455580e-03	1	3.040000e-01	2.150533e-02	1
107	CCL4	chemokine (C-C motif) ligand 4	289	11	0	0	1	0	0	0	1	1	1	2.158228e-02	NaN	NaN	2.158228e-02	1
108	COL16A1	collagen, type XVI, alpha 1	5095	3	0	0	2	0	0	0	2	2	2	1.802475e-01	1	1.150000e-02	2.173446e-02	1
109	ZC3H10	zinc finger CCCH-type containing 10	1346	13	0	0	2	0	0	0	2	2	2	3.232769e-03	1	9.250000e-01	2.177081e-02	1
110	H2AFJ	H2A histone family, member J	390	68	0	0	1	0	0	0	1	1	1	2.210878e-02	NaN	NaN	2.210878e-02	1
111	RLTPR	RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing	4473	14	0	0	2	0	0	0	2	2	1	3.302234e-01	1.000000e-02	6.397000e-01	2.216841e-02	1
112	SEC16A	SEC16 homolog A (S. cerevisiae)	7194	9	0	0	2	0	0	1	3	3	3	1.114712e-02	1	2.680000e-01	2.228037e-02	1
113	BRD3	bromodomain containing 3	2221	18	0	0	0	1	0	0	1	1	1	2.277243e-02	NaN	NaN	2.277243e-02	1
114	KIAA1033	KIAA1033	3652	14	0	0	0	0	1	0	1	1	1	2.282253e-02	NaN	NaN	2.282253e-02	1
115	FLNA	filamin A, alpha (actin binding protein 280)	8128	9	0	2	2	0	0	1	3	3	3	3.037270e-02	1	9.600000e-02	2.325209e-02	1
116	ALDH18A1	aldehyde dehydrogenase 18 family, member A1	2456	4	0	0	0	0	1	0	1	1	1	2.347210e-02	NaN	NaN	2.347210e-02	1
117	IREB2	iron-responsive element binding protein 2	2976	77	0	0	1	1	0	0	2	2	2	3.562319e-03	1	6.170000e-01	2.364434e-02	1
118	C10orf118	chromosome 10 open reading frame 118	2757	29	0	0	1	1	0	0	2	2	2	4.112100e-02	1	6.400000e-02	2.373004e-02	1
119	WFDC8	WAP four-disulfide core domain 8	752	25	0	0	1	0	0	0	1	1	1	2.383659e-02	NaN	NaN	2.383659e-02	1
120	PNP	purine nucleoside phosphorylase	890	13	0	0	1	0	0	0	1	1	1	2.389190e-02	NaN	NaN	2.389190e-02	1
121	ENKUR	enkurin, TRPC channel interacting protein	791	198	0	0	1	1	0	0	2	2	2	7.890285e-03	1	1.310000e-01	2.393390e-02	1
122	CILP2	cartilage intermediate layer protein 2	3503	10	0	0	0	1	0	0	1	1	1	2.400265e-02	NaN	NaN	2.400265e-02	1
123	ZYG11B	zyg-11 homolog B (C. elegans)	2287	25	0	0	0	0	1	0	1	1	1	2.401356e-02	NaN	NaN	2.401356e-02	1
124	STK36	serine/threonine kinase 36, fused homolog (Drosophila)	4069	69	0	1	3	0	0	0	3	3	3	2.267194e-02	1	8.400000e-02	2.413858e-02	1
125	CD47	CD47 molecule	1016	54	0	1	0	0	1	0	1	1	1	2.417647e-02	NaN	NaN	2.417647e-02	1
126	ZCCHC2	zinc finger, CCHC domain containing 2	3589	43	0	0	1	1	0	0	2	2	2	1.152494e-02	1	1.920000e-01	2.428596e-02	1
127	CEP97	centrosomal protein 97kDa	2640	8	0	0	2	0	0	0	2	2	2	2.684401e-01	1	1.000000e-02	2.444291e-02	1
128	IL20RA	interleukin 20 receptor, alpha	1686	56	0	0	1	1	0	0	2	2	2	8.738295e-03	1	4.290000e-01	2.469040e-02	1
129	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	2180	95	0	0	1	1	0	2	4	3	4	3.792810e-03	1	9.450000e-01	2.493639e-02	1
130	IPO13	importin 13	2968	35	0	0	0	1	0	0	1	1	1	2.550228e-02	NaN	NaN	2.550228e-02	1
131	IPP	intracisternal A particle-promoted polypeptide	1889	84	0	0	0	0	1	0	1	1	1	2.556206e-02	NaN	NaN	2.556206e-02	1
132	NOTCH3	Notch homolog 3 (Drosophila)	7096	12	0	0	0	1	0	0	1	1	1	2.574262e-02	NaN	NaN	2.574262e-02	1
133	SH3D19	SH3 domain containing 19	2429	32	0	0	2	0	0	0	2	2	2	3.939097e-03	1	7.060000e-01	2.574910e-02	1
134	GTF2F1	general transcription factor IIF, polypeptide 1, 74kDa	1602	45	0	0	1	1	0	0	2	2	2	3.943931e-03	1	2.700000e-01	2.577587e-02	1
