"","hgnc_symbol","entrezgene","ensembl_gene_id","chromosome_name","start_position","end_position","band"
"1","AADACL3",126767,"ENSG00000188984","1",12716115,12728759,"p36.21"
"2","AADACL4",343066,"ENSG00000204518","1",12644547,12667086,"p36.21"
"3","ACAP3",116983,"ENSG00000131584","1",1292376,1309609,"p36.33"
"4","ACOT7",11332,"ENSG00000097021","1",6264269,6394391,"p36.31"
"5","ACTL8",81569,"ENSG00000117148","1",17755313,17827063,"p36.13"
"6","ACTRT2",140625,"ENSG00000169717","1",3021483,3022903,"p36.32"
"7","AGMAT",79814,"ENSG00000116771","1",15572353,15585110,"p36.21"
"8","AGRN",375790,"ENSG00000188157","1",1020123,1056118,"p36.33"
"9","AGTRAP",57085,"ENSG00000177674","1",11736084,11754802,"p36.22"
"10","AHDC1",27245,"ENSG00000126705","1",27534035,27604431,"p35.3"
"11","AJAP1",55966,"ENSG00000196581","1",4654732,4792534,"p36.32"
"12","AKR7A2",8574,"ENSG00000053371","1",19303965,19312146,"p36.13"
"13","AKR7A3",22977,"ENSG00000162482","1",19282558,19289250,"p36.13"
"14","AKR7L",246181,"ENSG00000211454","1",19265982,19274194,"p36.13"
"15","ALDH4A1",8659,"ENSG00000159423","1",18871430,18902781,"p36.13"
"16","ALPL",249,"ENSG00000162551","1",21509372,21578412,"p36.12"
"17","ANGPTL7",10218,"ENSG00000171819","1",11189341,11195981,"p36.22"
"18","ANKRD65",441869,"ENSG00000235098","1",1418420,1421769,"p36.33"
"19","ARHGEF10L",55160,"ENSG00000074964","1",17539835,17697874,"p36.13"
"20","ARHGEF16",27237,"ENSG00000130762","1",3454426,3481113,"p36.32"
"21","ARHGEF19",128272,"ENSG00000142632","1",16197854,16212609,"p36.13"
"22","ARID1A",8289,"ENSG00000117713","1",26693236,26782104,"p36.11"
"23","ASAP3",55616,"ENSG00000088280","1",23428563,23484568,"p36.12"
"24","ASAP3",55616,"ENSG00000282854","CHR_HSCHR1_4_CTG3",23436027,23492032,""
"25","ATAD3A",55210,"ENSG00000197785","1",1512151,1534687,"p36.33"
"26","ATAD3B",83858,"ENSG00000160072","1",1471769,1497848,"p36.33"
"27","ATAD3C",219293,"ENSG00000215915","1",1449689,1470158,"p36.33"
"28","ATP13A2",23400,"ENSG00000159363","1",16985958,17011928,"p36.13"
"29","ATPIF1",93974,"ENSG00000130770","1",28236109,28246906,"p35.3"
"30","AURKAIP1",54998,"ENSG00000175756","1",1373730,1375495,"p36.33"
"31","B3GALT6",126792,"ENSG00000176022","1",1232265,1235041,"p36.33"
"32","C1orf127",148345,"ENSG00000175262","1",10946471,10982037,"p36.22"
"33","C1orf158",93190,"ENSG00000157330","1",12746215,12763699,"p36.21"
"34","C1orf159",54991,"ENSG00000131591","1",1081818,1116361,"p36.33"
"35","C1orf174",339448,"ENSG00000198912","1",3889125,3900293,"p36.32"
"36","C1orf64",149563,"ENSG00000183888","1",16004236,16008807,"p36.13"
"37","C1QA",712,"ENSG00000173372","1",22636506,22639608,"p36.12"
"38","C1QB",713,"ENSG00000173369","1",22652762,22661538,"p36.12"
"39","C1QC",714,"ENSG00000159189","1",22643630,22648110,"p36.12"
"40","CA6",765,"ENSG00000131686","1",8945867,8975092,"p36.23"
"41","CALML6",163688,"ENSG00000169885","1",1914827,1917296,"p36.33"
"42","CAMK2N1",55450,"ENSG00000162545","1",20482391,20486220,"p36.12"
"43","CAMTA1",23261,"ENSG00000171735","1",6785324,7769706,"p36.31"
"44","CAPZB",832,"ENSG00000077549","1",19338776,19485539,"p36.13"
"45","CASP9",842,"ENSG00000132906","1",15490832,15526534,"p36.21"
"46","CASZ1",54897,"ENSG00000130940","1",10636604,10796650,"p36.22"
"47","CATSPER4",378807,"ENSG00000188782","1",26190561,26202968,"p36.11"
"48","CCDC27",148870,"ENSG00000162592","1",3746460,3771645,"p36.32"
"49","CCNL2",81669,"ENSG00000221978","1",1385711,1399328,"p36.33"
"50","CD164L2",388611,"ENSG00000174950","1",27379176,27383380,"p36.11"
"51","CD52",1043,"ENSG00000169442","1",26317957,26320523,"p36.11"
"52","CDA",978,"ENSG00000158825","1",20588948,20618908,"p36.12"
"53","CDC42",998,"ENSG00000070831","1",22052627,22092946,"p36.12"
"54","CDK11A",728642,"ENSG00000008128","1",1702730,1724324,"p36.33"
"55","CDK11B",984,"ENSG00000248333","1",1635227,1659012,"p36.33"
"56","CELA2A",63036,"ENSG00000142615","1",15456728,15472091,"p36.21"
"57","CELA2B",51032,"ENSG00000215704","1",15465909,15491400,"p36.21"
"58","CELA3A",10136,"ENSG00000142789","1",22001656,22012539,"p36.12"
"59","CELA3B",23436,"ENSG00000219073","1",21977021,21998642,"p36.12"
"60","CEP104",9731,"ENSG00000116198","1",3812081,3857214,"p36.32"
"61","CEP85",64793,"ENSG00000130695","1",26234153,26279038,"p36.11"
"62","CHD5",26038,"ENSG00000116254","1",6101793,6180123,"p36.31"
"63","CLCN6",1185,"ENSG00000011021","1",11806096,11843144,"p36.22"
"64","CLCNKA",1187,"ENSG00000186510","1",16018875,16034050,"p36.13"
"65","CLCNKB",1188,"ENSG00000184908","1",16043736,16057308,"p36.13"
"66","CLIC4",25932,"ENSG00000169504","1",24745357,24844324,"p36.11"
"67","CLSTN1",22883,"ENSG00000171603","1",9729026,9824526,"p36.22"
"68","CNKSR1",10256,"ENSG00000142675","1",26177403,26189886,"p36.11"
"69","CNR2",1269,"ENSG00000188822","1",23870526,23913362,"p36.11"
"70","CORT",1325,"ENSG00000241563","1",10449719,10451902,"p36.22"
"71","CROCC",9696,"ENSG00000058453","1",16740273,16972979,"p36.13"
"72","CROCCP2",84809,"ENSG00000215908","1",16618253,16657232,"p36.13"
"73","CROCCP3",114819,"ENSG00000080947","1",16467436,16499257,"p36.13"
"74","CTNNBIP1",56998,"ENSG00000178585","1",9848276,9910336,"p36.22"
"75","CTRC",11330,"ENSG00000162438","1",15438439,15449242,"p36.21"
"76","DDI2",84301,"ENSG00000197312","1",15617500,15669044,"p36.21"
"77","DDOST",1650,"ENSG00000244038","1",20651767,20661544,"p36.12"
"78","DDX11L1",84771,"ENSG00000223972","1",11869,14409,"p36.33"
"79","DDX11L1",727856,"ENSG00000223972","1",11869,14409,"p36.33"
"80","DDX11L1",100287102,"ENSG00000223972","1",11869,14409,"p36.33"
"81","DDX11L1",100287596,"ENSG00000223972","1",11869,14409,"p36.33"
"82","DFFA",1676,"ENSG00000160049","1",10456522,10472526,"p36.22"
"83","DFFB",1677,"ENSG00000169598","1",3857267,3885429,"p36.32"
"84","DHDDS",79947,"ENSG00000117682","1",26432282,26471294,"p36.11"
"85","DHRS3",9249,"ENSG00000162496","1",12567910,12617731,"p36.21"
"86","DNAJC11",55735,"ENSG00000007923","1",6634168,6701924,"p36.31"
"87","DNAJC16",23341,"ENSG00000116138","1",15526813,15592379,"p36.21"
"88","DNAJC8",22826,"ENSG00000126698","1",28199456,28233025,"p35.3"
"89","DVL1",1855,"ENSG00000107404","1",1335276,1349350,"p36.33"
"90","E2F2",1870,"ENSG00000007968","1",23506430,23531220,"p36.12"
"91","E2F2",1870,"ENSG00000282899","CHR_HSCHR1_4_CTG3",23513894,23538684,""
"92","ECE1",1889,"ENSG00000117298","1",21217247,21345504,"p36.12"
"93","EFHD2",79180,"ENSG00000142634","1",15409895,15430343,"p36.21"
"94","EIF4G3",8672,"ENSG00000075151","1",20806292,21176888,"p36.12"
"95","ENO1",2023,"ENSG00000074800","1",8861002,8879249,"p36.23"
"96","ENO1-AS1",100505975,"ENSG00000230679","1",8878835,8879894,"p36.23"
"97","EPB41",2035,"ENSG00000159023","1",28887091,29120046,"p35.3"
"98","EPHA2",1969,"ENSG00000142627","1",16124337,16156087,"p36.13"
"99","EPHA8",2046,"ENSG00000070886","1",22563564,22603594,"p36.12"
"100","EPHB2",2048,"ENSG00000133216","1",22710839,22921500,"p36.12"
"101","ERRFI1",54206,"ENSG00000116285","1",8004404,8026308,"p36.23"
"102","ESPN",83715,"ENSG00000187017","1",6424788,6461370,"p36.31"
"103","ESPNP",284729,"ENSG00000268869","1",16687339,16720157,"p36.13"
"104","EXOSC10",5394,"ENSG00000171824","1",11066618,11099881,"p36.22"
"105","EXTL1",2134,"ENSG00000158008","1",26019884,26036464,"p36.11"
"106","EYA3",2140,"ENSG00000158161","1",27970344,28088696,"p35.3"
"107","FABP3",2170,"ENSG00000121769","1",31365625,31376850,"p35.2"
"108","FAM110D",79927,"ENSG00000197245","1",26159020,26163962,"p36.11"
"109","FAM131C",348487,"ENSG00000185519","1",16057769,16073632,"p36.13"
"110","FAM138A",645520,"ENSG00000237613","1",34554,36081,"p36.33"
"111","FAM138F",641702,"ENSG00000282591","19",76163,77686,"p13.3"
"112","FAM213B",127281,"ENSG00000275125","CHR_HSCHR1_1_CTG3",2586491,2591469,""
"113","FAM213B",127281,"ENSG00000157870","1",2586491,2591469,"p36.32"
"114","FAM41C",284593,"ENSG00000230368","1",868071,876903,"p36.33"
"115","FAM43B",163933,"ENSG00000183114","1",20552439,20555010,"p36.12"
"116","FAM46B",115572,"ENSG00000158246","1",27005020,27012836,"p36.11"
"117","FAM76A",199870,"ENSG00000009780","1",27725979,27763122,"p35.3"
"118","FBLIM1",54751,"ENSG00000162458","1",15756607,15786594,"p36.21"
"119","FBXO2",26232,"ENSG00000116661","1",11637018,11655785,"p36.22"
"120","FBXO42",54455,"ENSG00000037637","1",16246839,16352454,"p36.13"
"121","FBXO44",93611,"ENSG00000132879","1",11654375,11663327,"p36.22"
"122","FBXO6",26270,"ENSG00000116663","1",11664124,11674354,"p36.22"
"123","FCN3",8547,"ENSG00000142748","1",27369112,27374824,"p36.11"
"124","FGR",2268,"ENSG00000000938","1",27612064,27635277,"p35.3"
"125","FHAD1",114827,"ENSG00000142621","1",15247272,15400283,"p36.21"
"126","FUCA1",2517,"ENSG00000179163","1",23845077,23868294,"p36.11"
"127","GABRD",2563,"ENSG00000187730","1",2019298,2030758,"p36.33"
"128","GALE",2582,"ENSG00000117308","1",23795599,23800804,"p36.11"
"129","GMEB1",10691,"ENSG00000162419","1",28668732,28719353,"p35.3"
"130","GNB1",2782,"ENSG00000078369","1",1785285,1891117,"p36.33"
"131","GPATCH3",63906,"ENSG00000198746","1",26890488,26900466,"p36.11"
"132","GPN2",54707,"ENSG00000142751","1",26876133,26890297,"p36.11"
"133","GPR153",387509,"ENSG00000158292","1",6247346,6260975,"p36.31"
"134","GPR157",80045,"ENSG00000180758","1",9100305,9129170,"p36.22"
"135","GPR3",2827,"ENSG00000181773","1",27392644,27395814,"p36.11"
"136","GRHL3",57822,"ENSG00000158055","1",24319322,24364482,"p36.11"
"137","H6PD",9563,"ENSG00000049239","1",9234775,9271337,"p36.22"
"138","HES2",54626,"ENSG00000069812","1",6412418,6424670,"p36.31"
"139","HES3",390992,"ENSG00000173673","1",6244192,6245578,"p36.31"
"140","HES4",57801,"ENSG00000188290","1",998962,1000172,"p36.33"
"141","HES5",388585,"ENSG00000273529","CHR_HSCHR1_1_CTG3",2528745,2530245,""
"142","HES5",388585,"ENSG00000197921","1",2528745,2530245,"p36.32"
"143","HMGCL",3155,"ENSG00000117305","1",23801885,23838620,"p36.11"
"144","HMGN2",3151,"ENSG00000198830","1",26472450,26475972,"p36.11"
"145","HNRNPCL1",343069,"ENSG00000179172","1",12847408,12848725,"p36.21"
"146","HNRNPCL1",343069,"ENSG00000282175","CHR_HG1342_HG2282_PATCH",12847408,12848725,""
"147","HNRNPR",10236,"ENSG00000125944","1",23303771,23344336,"p36.12"
"148","HNRNPR",10236,"ENSG00000282958","CHR_HSCHR1_4_CTG3",23311235,23351800,""
"149","HP1BP3",50809,"ENSG00000127483","1",20742661,20787323,"p36.12"
"150","HSPB7",27129,"ENSG00000173641","1",16014028,16019594,"p36.13"
"151","HSPG2",3339,"ENSG00000142798","1",21822245,21937297,"p36.12"
"152","HTR1D",3352,"ENSG00000179546","1",23191895,23194729,"p36.12"
"153","HTR6",3362,"ENSG00000158748","1",19665287,19679562,"p36.13"
"154","ICMT",23463,"ENSG00000116237","1",6221193,6235972,"p36.31"
"155","ID3",3399,"ENSG00000117318","1",23557918,23559794,"p36.12"
"156","ID3",3399,"ENSG00000283060","CHR_HSCHR1_4_CTG3",23565382,23567258,""
"157","IFFO2",126917,"ENSG00000169991","1",18904281,18956686,"p36.13"
"158","IFI6",2537,"ENSG00000126709","1",27666061,27672218,"p35.3"
"159","IGSF21",84966,"ENSG00000117154","1",18107746,18378483,"p36.13"
